bibcode,url,title,abstract,pubdate,author,keywords
2000heds.conf...25A,https://www.lpi.usra.edu/publications/reports/CB-1063/uwash.pdf,Studies in Closed Ecological Systems: Biosphere in a Bottle,,2000-01-00,"Armentrout, B.; Kappes, H.; Genther, K.; Kim, R.; Mathis, H.; Morasch, M.; Riley, B.; Stone, V.; Taub, F.",
2001shem.work..140D,https://www.lpi.usra.edu/publications/reports/CB-1089/dickeson.pdf,"Mars field Geology, Biology and Paleontology Workshop (November, 1999): Consensus, Recommendations and Progress",The contents include: 1) Field Exploration Strategy; 2) Analytical Capabilities and Instruments; 3) Crew Skills and Training; and 4) Earth-Mars Communications. This paper is in viewgraph form.,2001-01-00,"Dickerson, Patricia Wood",Paleontology; Planetary Geology; Mars Surface; Education; Communication Networks; Extravehicular Activity; Spacecrews; Lunar and Planetary Exploration
2002LPI....33.1257B,https://www.lpi.usra.edu/meetings/lpsc2002/pdf/1257.pdf,K. E. Little and the Texas STARBASE Experience,"25 fifth grade students from Bacliff, Texas will be participating in a hands-on interactive science education experience called Starbase Texas at Ellington Field January 9th-February 6th.",2002-03-00,"Bonett, D.; Whittemore-Smith, G.",
2004LPI....35.1904R,https://www.lpi.usra.edu/meetings/lpsc2004/pdf/1904.pdf,Making Earth and Space Science and Exploration Accessible,Most US students with disabilities must achieve the same academic levels as their non-impaired peers. We are working with NASA product developers and educators from exceptional needs settings to make earth and space science more accessible.,2004-03-00,"Runyon, C. J.; Guimond, K. A.; Hurd, D.; Heinrich, G.",
2007LPI....38.2334A,https://www.lpi.usra.edu/meetings/lpsc2007/pdf/2334.pdf,Informal Science Education + Planetary Missions = Increased Public Support and Space Science Literacy,Planetary missions provide a ready-made audience for successful science education public programming. Museums/science centers provide informal science education that links the mission to a wide and diverse audience.,2007-03-00,"Aubele, J. C.; Stanley, J.",
2007LPICo1371.3001S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3001.pdf,Toward a Standard Moon,,2007-10-00,"Schneck, T.",
2007LPICo1371.3002L,https://www.lpi.usra.edu/meetings/leag2007/pdf/3002.pdf,The Lunar Collection: Status and the Future,,2007-10-00,"Lofgren, G. E.",
2007LPICo1371.3003T,https://www.lpi.usra.edu/meetings/leag2007/pdf/3003.pdf,Commercial Transportation and Lunar Surface Mining,,2007-10-00,"Taylor, T. C.; Kistler, W. P.; Citron, R. B.",
2007LPICo1371.3004W,https://www.lpi.usra.edu/meetings/leag2007/pdf/3004.pdf,Collaborative Human-Robot Science Exploration on the Lunar Surface,,2007-10-00,"Weisbin, C. R.; Elfes, A.; Smith, J. H.; Hua, H.; Mrozinski, J.; Shelton, K.",
2007LPICo1371.3005S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3005.pdf,Exploring the Moon with Samples. Scientific and Exploration Importance of Sample Return and Buying Down Risk and Cost of Sample Return Missions,,2007-10-00,"Shearer, C. K.",
2007LPICo1371.3006S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3006.pdf,The Pacific International Space Center for Exploration Systems (PISCES) as an Example of the Role that the States Can Play in Space Exploration,,2007-10-00,"Schowengerdt, F.",
2007LPICo1371.3007T,https://www.lpi.usra.edu/meetings/leag2007/pdf/3007.pdf,"Future of Lunar Sample Return: Robotics, Humans, and Robotic-Human Partnerships",,2007-10-00,"Taylor, G. J.; Spudis, P. D.",
2007LPICo1371.3008R,https://www.lpi.usra.edu/meetings/leag2007/pdf/3008.pdf,The Spaceward Bound Field Training Curriculum for Moon and Mars Analog Environments,,2007-10-00,"Rask, J. C.; Heldmann, J.; Smith, H.; Battler, M.; Fristad, K.; Allner, M.; Clardy, T.; Clark, O.; Taylor, C.; Citron, R.; Corbin, B.; Negron, G.; Skok, J.; Taylor, L.; Centinello, F.; Duncan, A.; Fan, A.; Pavon, S.; Sutton, W.; Drakonakis, V.; Gilbert, C.",
