bibcode,title,author,pubdate,url,abstract,keywords
2001shem.work..140D,"Mars field Geology, Biology and Paleontology Workshop (November, 1999): Consensus, Recommendations and Progress","Dickerson, Patricia Wood",2001-01-00,https://www.lpi.usra.edu/publications/reports/CB-1089/dickeson.pdf,The contents include: 1) Field Exploration Strategy; 2) Analytical Capabilities and Instruments; 3) Crew Skills and Training; and 4) Earth-Mars Communications. This paper is in viewgraph form.,Paleontology; Planetary Geology; Mars Surface; Education; Communication Networks; Extravehicular Activity; Spacecrews; Lunar and Planetary Exploration
2007LPICo1371.3074D,Automated Subsurface Sample Acquisition Technologies for Lunar Exploration,"Davis, K.",2007-10-00,https://www.lpi.usra.edu/meetings/leag2007/pdf/3074.pdf,,
2009LPICo1470....7B,In-Situ Aerial Exploration of Venus by Balloon -- Science Objectives and Mission Architecture,"Baines, K. H.; Atreya, S. K.; Crisp, D.; Hall, J. L.; Kerzhanovich, V. V.; Lamaye, S. S.; Zahnle, K.",2009-02-00,https://www.lpi.usra.edu/meetings/venus2009/pdf/2029.pdf,,
2011LPICo1646.....L,Annual Meeting of the Lunar Exploration Analysis Group,LPI Editorial Board,2011-11-00,https://www.lpi.usra.edu/meetings/leag2011,,
2013LPICo1766.1005G,Interaction of the Sleeping Chironomid with Microorganisms: ``Uchi-Soto'' in the World of Anhydrobiosis,"Gusev, O.; Shagimardanova, E.; Bosch, T.; Okuda, T.; Kikawada, T.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1005,In the current paper we outline our current knowledge about interaction of microorganisms and an anhydrobiotic insect in the acquiring desiccation resistance and in the processes related to it.,
2013LPICo1766.1007B,Complex Organic Molecules in the Interstellar Medium in the Era of ALMA,"Belloche, A.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1007,Sgr B2(N) is one of the key sites to search for new complex organic molecules in the ISM. I will describe the techniques used to decipher its molecular content. I will discuss the perspectives offered by ALMA in this context.,
2013LPICo1766.1008Y,Possibility of Environmental-Electro-Ecosystem (E3) Around Deep-Sea Hydrothermal Vents,"Yamamoto, M.; Nakamura, R.; Oguri, K.; Kawagucchi, S.; Suzuki, K.; Hashimoto, K.; Takai, K.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1008,We used in situ electrochemical analyses to demonstrate that deep-sea hydrothermal vents have the ability to generate electricity. Some chemolithotrophic microbial components living in chimney may directly utilize the electrons as an energy source.,
2013LPICo1766.1009O,Absorption Features of CH_3NH_2 Towards SgrB2(M),"Ohishi, M.; Hirota, T.; Kaifu, N.; Suzuki, T.; Motoki, Y.; Ozeki, H.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1009,We surveyed CH_3NH_2 toward star-forming regions in April 2013 by the Nobeyama 45m telescope. We detected three low-energy CH_3NH_2 lines in clear absorption towards SgrB2(M). This would suggest that CH_3NH_2 is widely distributed in cold molecular clouds.,
2013LPICo1766.1010U,Unique Late Archean Atmosphere due to Enhunced Volcanic and Biological Activities,"Ueno, Y.; Danielache, S. O.; Endo, Y.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1010,Late Arcehan may be characterized by increasing continental volume and large igneous provinces as well as by onset of oxygenic photosynthesis.,
2013LPICo1766.1011H,Perspectives of ELSI Projects: The Origin of the Earth and the Origin of Life,"Hirose, K.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1011,Earth-Life Science Institute (ELSI) has been recently established at the Tokyo Institute of Technology based on the World Premier International Research Initiatives (WPI) program and is going to study the origins of the Earth and life.,
2013LPICo1766.1012M,Comet Impacts as a Driving Force of Glycine Oligomerization,"Mimura, K.; Sugahara, H.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1012,"We suggest that comet impacts can readily account for the oligomerization of glycine to form the precursors of life on the early Earth. Since comet impacts are ubiquitous phenomenon, they play an important role in organic chemical evolution.",
2013LPICo1766.1013Y,The Possible Interplanetary Transfer ofMmicrobes: Assessing the Viability of Deinococcus spp. Under the ISS Environmental Conditions for Performing Exposure Experiments of Microbes in the Tanpopo Mission,"Yuko, Y.; Yinjie, Y.; Narutoshi, K.; Keisuke, S.; Masako, T.; Issay, N.; Katsuya, S.; Hirofumi, H.; Kazumichi, N.; Yoshiaki, Y.; Yoh-hei, Y.; Maiko, T.; Tomohiro, S.; Yuta, Y.; Yasuyuki, S.; Satoshi, Y.; Kensei, K.; Shin-ichi, Y.; Yamagishi, A.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1013,"In the Tanpopo mission, we have proposed to carry out experiments on capture and space exposure of microbes at the ISS. In this paper, we have examined the survivability of Deinococcus spp. under the environmental conditions in ISS in orbit.",
2013LPICo1766.1014K,``Contact'' with Extra-Terrestrial Life: An Astronomer's View,"Kaifu, N.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1014,From astronomical point of view contact with extraterrestrial life (in whatever situation) may occur within the coming half century. In case of life on exosolar planets the “contact” will happen by astronomical observations.,
2013LPICo1766.1015A,Experimentally Testing the Hypothesis of a Limited Amino Acid Repertoire in Primitive Proteins,"Akanuma, S.; Nakajima, Y.; Yokobori, S.; Yamagishi, A.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1015,"It has been argued that a fewer amino acids were used in primitive proteins and later the repertoire increased up to 20. To test this hypothesis experimentally, we restricted the amino acid usage of a reconstructed, ancestral protein to reduced sets.",
2013LPICo1766.1016K,Evolution of Interstellar Organics to Meteoritic and Cometary Organics: Approaches by Laboratory Simulations,"Kobayashi, K.; Kawamoto, Y.; El-Masry, W.; Eto, M.; Tokimura, H.; Kaneko, T.; Obayashi, Y.; Mita, H.; Kanda, K.; Yoshida, S.; Fukuda, H.; Oguri, Y.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1016,"We examined possible formation of amino acids and nucleic acid bases (or their precursors) from possible interstellar media, and alteration with high-energy photons, particles and hydrothermal reactions to study their fates in the solar system.",
2013LPICo1766.1017N,Fluorescent Dye Handling System for MELOS1 Life Detection Microscope,"Nishizawa, M.; Sasaki, S.; Miyakawa, A.; Imai, E.; Yoshimura, Y.; Honda, H.; Sato, T.; Yamagishi, A.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1017,Dye solution handling system for the microscope in MELOS1 mission will be reported. The effect of metal foil treatment on the solution drop will be discussed.,
2013LPICo1766.1018K,Method for Biological Contamination Monitoring During Aerogel Cutting Process in Tanpopo Project Using Bioluminescent Bacteria Photobacterium Kishitanii,"Kiyonaga, Y.; Sasaki, S.; Odashima, T.; Okudaira, K.; Imai, E.; Yano, H.; Kawaguchi, Y.; Yamagishi, A.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1018,A novel method to monitor biological contamination of the aerogel during the cutting procedure is reported. The advantage of using bioluminescent bacteria for the monitoring will be presented.,
2013LPICo1766.1019M,"Exposure Experiments of Organic Compounds on the JEM, ISS, in the Tanpopo Mission","Mita, H.; Hashimoto, H.; Higashiide, M.; Imai, E.; Kawaguchi, Y.; Kawai, H.; Kawamoto, Y.; Kanda, K.; Kobayashi, K.; Nakagawa, K.; Narumi, I.; Okudaira, K.; Tabata, M.; Yabuta, H.; Yamashita, M.; Yano, H.; Yoshida, S.; Yokobori, S.; Yamagishi, A.; Tanpopo Working Group",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1019,"In order to discuss the possibility of delivery of organic compounds from space, alteration of prebiotic compounds in space environments should be clear. Therefore, we will expose some organic compounds on the exposure facility at ISS-JEM.",
2013LPICo1766.1020F,Toward Characterization of Exoplanetary Surface Environment,"Fujii, Y.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1020,"How and how much can we potentially know about exoplanetary surface environment with future direct imaging observations? We discuss planetary scattered light as a probe of surface materials as well as clouds, which are relevant to habitability.",
2013LPICo1766.1021K,Evolution of Intelligence in a Network of Chain Reactions,"Karasawa, S.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1021,This report presents a concept of network of chain reaction which represents activities. Concurrently activated portions are able to link by intermolecular bond via thermal motion of molecules. Annex system makes possible to replay similar reaction.,
2013LPICo1766.1022I,Limits of Life in the Deep Subseafloor Biosphere: New Insights from IODP Expedition 337,"Inagaki, F.; Hinrichs, K. -U.; Kubo, Y.; IODP Expedition 337 Scientists",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1022,The Integrated Ocean Drilling Program (IODP) Expedition 337 provides an unprecedented opportunity to explore how life persists and evolves in the deep subseafloor ecosystem and to expand our knowledge of habitability and limits of life on Earth.,
2013LPICo1766.1023K,Near-Infrared Circular Polarimetry in Star Forming Regions: Implication for Astrobiology,"Kwon, J.; Tamura, M.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1023,"We show results from deep imaging linear and circular polarimetry of the massive star-forming region NGC 6334-V as well as our first CP survey results in star forming regions, supporting the extraterrestrial origin of homochirality of life on Earth.",
2013LPICo1766.1024Y,Moelcular Phylogenetic Analyses of G1P Dehydrogenase and G3P Dehydrogenase Suggest the Late Origin of Archaea-Type Membrane,"Yokobori, S.; Nakajima, Y.; Akanuma, S.; Yamagishi, A.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1024,"Phylogenetic analyses of G1PDH and G3PDH suggested that the common ancestor of Bacteria/Archaea had cellular membrane with G3P formed by G3PDH. The archaeal ancestry acquired G1PDH, and then the membrane with G3P was replaced with that with G1P.",
2013LPICo1766.1025K,Deuterium-Hydrogen Exchange Between Organic Matter and Water: Implications for Chemical Evolution During Asteroidal Processing,"Kebukawa, Y.; Cody, G. D.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1025,"Laboratory simulations of D-H exchange between organic matter and water were conducted considering; (1) IOM polymerization process starting with formaldehyde in the presence of water, and (2) D-H exchange between IOM and water.",
2013LPICo1766.1026H,Astrobiology Research on Board of the International Space Station as part of the European Space Exploration Initiative,"Horneck, G.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1026,"Exposure facilities on board of the ISS have provided unique opportunities to study a variety of questions of astrobiology importance. ESA has developed several astrobiology facilities (BIOPAN, STONE, EXPOSE-E, EXPOSE-R, EXPOSE-R2) for such studies.",
2013LPICo1766.1028S,Enceladus' Hydrothermal Activity: Another Habitable World?,"Sekine, Y.; Shibuya, T.; Postberg, F.; Hsu, S.; Suzuki, K.; Masaki, Y.; Kuwatani, T.; Tachibana, S.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1028,"Water plumes with sodium salts erupting from the south-pole region of Enceladus suggest the presence of an interior ocean. We show experimental results of water-rock reactions in Enceladus, which suggest the presence of hydrothermal activity there.",
2013LPICo1766.1029K,The Energetics of Amino Acid Synthesis and Polymerization as a Function of Temperature and pH,"Kitadai, N.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1029,This study performed thermodynamic calculations for amino acid synthesis and polymerization as a function of temperature and pH. Results showed that favorable environmental conditions for the two reactions are different.,
2013LPICo1766.1030T,Polarized Space Radiation and Biological Homochirality,"Takahashi, J.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1030,A most attractive scenario of the origin of terrestrial biological homochirality is that the single-handedness phenomenon was originated by asymmetric chemical reactions stimulated by polarized space radiation.,
2013LPICo1766.1031G,Formation and Early Evolution of Atmosphere and Ocean on the Earth,"Genda, H.; Hamano, K.; Abe, Y.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1031,"We would like to review mechanisms of supply and loss of volatiles on the terrestrial planets. Additionally, we will discuss the cooling of magma ocean and formation of ocean. These processes are highly related to the habitability of planets.",
2013LPICo1766.1032H,"Interplanetary Migration of Eucaryotic Cell, Spore of Schizosaccharomyces Pombe","Hayashi, N.; Nosaka, J.; Ando, R.; Hashimoto, H.; Yokobori, S.; Narumi, I.; Nakagawa, K.; Yamagishi, A.; Tohda, H.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1032,"The Tanpopo mission to examine possible interplanetary migration of microbes is progressing. Spore of Schizosaccharomyces pombe are considered as the exposed samples. In this paper, results of preliminary experiments for the exposure are shown.",
2013LPICo1766.1033T,"Dried Colony in Cyanobacterium, Nostoc sp. HK-01 — Several high Space Environment Tolerances for ``Tanpopo'' Mission","Tomita-Yokotani, K.; Kimura, S.; Kimura, Y.; Igarashi, Y.; Ajioka, R.; Sato, S.; Katoh, H.; Baba, K.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1033,"A cyanobacterium, Nostoc sp. HK-01, has high several space environmental tolerance. Nostoc sp HK-01 would have high contribution for the “Tanpopo” mission in Japan Experimental Module of the International Space Station.",
2013LPICo1766.1034T,Polarimetric Signatures of the Earth Extracted from Earthshine Observations,"Takahashi, J.; Itoh, Y.; Akitaya, H.; Okazaki, A.; Kawabata, K.; Oasa, Y.; Isogai, M.; Niwa, T.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1034,We present the results of Earthshine polarimetry. Observed wavelength dependence in phase variation of polarization spectra might be a signature pointing toward Earth-like atmosphere. We also compare polarization difference between ocean and land.,
