bibcode,url,reason
2001shem.work..140D,https://www.lpi.usra.edu/publications/reports/CB-1089/dickeson.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/publications/reports/CB-1089/dickeson.pdf; No PDF found in IA search
2007LPICo1371.3002L,https://www.lpi.usra.edu/meetings/leag2007/pdf/3002.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3002.pdf; No PDF found in IA search
2007LPICo1371.3003T,https://www.lpi.usra.edu/meetings/leag2007/pdf/3003.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3003.pdf; No PDF found in IA search
2007LPICo1371.3004W,https://www.lpi.usra.edu/meetings/leag2007/pdf/3004.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3004.pdf; No PDF found in IA search
2007LPICo1371.3005S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3005.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3005.pdf; No PDF found in IA search
2007LPICo1371.3006S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3006.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3006.pdf; No PDF found in IA search
2007LPICo1371.3007T,https://www.lpi.usra.edu/meetings/leag2007/pdf/3007.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3007.pdf; No PDF found in IA search
2007LPICo1371.3011S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3011.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3011.pdf; No PDF found in IA search
2007LPICo1371.3012D,https://www.lpi.usra.edu/meetings/leag2007/pdf/3012.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3012.pdf; No PDF found in IA search
2007LPICo1371.3015C,https://www.lpi.usra.edu/meetings/leag2007/pdf/3015.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3015.pdf; No PDF found in IA search
2007LPICo1371.3019W,https://www.lpi.usra.edu/meetings/leag2007/pdf/3019.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3019.pdf; No PDF found in IA search
2007LPICo1371.3020E,https://www.lpi.usra.edu/meetings/leag2007/pdf/3020.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3020.pdf; No PDF found in IA search
2007LPICo1371.3025G,https://www.lpi.usra.edu/meetings/leag2007/pdf/3025.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3025.pdf; No PDF found in IA search
2007LPICo1371.3026P,https://www.lpi.usra.edu/meetings/leag2007/pdf/3026.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3026.pdf; No PDF found in IA search
2007LPICo1371.3027C,https://www.lpi.usra.edu/meetings/leag2007/pdf/3027.pdf,"Wayback snapshot not PDF: Error: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20220615060732/http://www.lpi.usra.edu/meetings/leag2007/pdf/3027.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10dbcc050>: Failed to establish a new connection: [Errno 61] Connection refused')); Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3027.pdf; No PDF found in IA search"
2007LPICo1371.3028M,https://www.lpi.usra.edu/meetings/leag2007/pdf/3028.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3028.pdf; No PDF found in IA search
2007LPICo1371.3029G,https://www.lpi.usra.edu/meetings/leag2007/pdf/3029.pdf,"Wayback snapshot not PDF: Error: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20220615060743/https://www.lpi.usra.edu/meetings/leag2007/pdf/3029.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10dbe66d0>: Failed to establish a new connection: [Errno 61] Connection refused')); Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3029.pdf; No PDF found in IA search"
2007LPICo1371.3030L,https://www.lpi.usra.edu/meetings/leag2007/pdf/3030.pdf,No Wayback snapshots found; Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3030.pdf; No PDF found in IA search
2007LPICo1371.3031M,https://www.lpi.usra.edu/meetings/leag2007/pdf/3031.pdf,"Wayback snapshot not PDF: Error: HTTPConnectionPool(host='web.archive.org', port=80): Max retries exceeded with url: /web/20220615060720/http://www.lpi.usra.edu/meetings/leag2007/pdf/3031.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10dbce450>: Failed to establish a new connection: [Errno 61] Connection refused')); Original URL not PDF: Error: 404 Client Error: Not Found for url: https://www.lpi.usra.edu/meetings/leag2007/pdf/3031.pdf; No PDF found in IA search"
